MATRI	NOM_PRENOM	CLUB	ELO_CALCUL
29360	VERHOEVEN FRANK	121	2189
97136	THIRION MARCEL	604	2189
37796	LAVRENOV YULI	101	2188
2615	MAITESIAN SERGEI	130	2188
31399	CEULEMANS KARL	243	2188
10391	GEIRNAERT STEVEN	303	2188
1473	VERHAEGEN ALBERT	952	2188
17981	PETRI PETER	134	2187
6700	IEVEN RUDI	708	2187
36714	VALLET MARC	305	2186
98957	LOEHN CARSTEN	625	2186
28355	DRUYTS STEVEN	121	2185
30040	SCHUURMANS JAN	130	2185
15121	VAN LEEUWEN ETIENNE	401	2185
30970	SCHITTEKAT BART	410	2185
79952	TAOURCHI HAKEM	956	2185
51764	VERDUYN FREDERIC	303	2184
25135	BERTREM STIJN	303	2183
91219	FONTAINE PIERRE	601	2183
98345	MEYER FRITZ	604	2183
26476	VAN KOOTEN LUUK	243	2182
98817	LAMBY PHILIPPE	604	2182
2241	MAES VALEER	124	2181
26646	JANSSENS MARC	422	2181
44041	GRECUCCIO NICOLA	732	2181
96741	TIMMERMANS IVO	604	2180
19071	HERZFELD MARCEL	201	2179
54810	PIACENTINI CLAUDIO	501	2179
11681	VAN DAMME HENRI	130	2178
38539	VAN VAALEN REMCO	422	2178
95770	BARVA ATTILA	627	2178
98191	OEPEN LOTHAR	607	2177
36129	FELLER JOSY	301	2176
4171	GILLES JEAN-CLAUDE	501	2176
32590	DE L'ECLUSE HAN	109	2175
13404	SWINKELS NOL	301	2175
74853	SCLACMENDER JULIEN	518	2175
16446	WILLEMS ANDRE	422	2174
19224	DE CONINCK RAFAEL	166	2172
15521	WETS GEERT	166	2171
34762	DANCKAERT MARC	430	2171
41084	STUER MARC	128	2170
16250	TACK FREDERIK	402	2170
51021	GORSHKOVA IRINA	533	2170
14231	THEUNISSEN KRIS	724	2169
58793	NACHON MENENDEZ GUZMAN	953	2169
21814	DE WEERD JAN	174	2167
83909	BLAGOJEVIC LUBO	201	2167
30775	AGLAVE ARNAUD	243	2167
58513	VERTRIEST MIGUEL	359	2167
72214	SHKRIEL REDJEP	601	2167
79324	CALUWE MARC	128	2166
10413	RIEMENS ALBERT	402	2166
19267	SALIGO LUC	418	2166
47872	BERGMANS NORBERT	607	2166
18546	SIMONS RUDY	101	2165
45284	KEGELS PASCAL	128	2165
30651	VANPARYS PHILIP	114	2163
48569	ROGIERS JAN	261	2163
56332	VAN ESPEN EDDY	266	2163
85081	BARZEELE RAF	362	2163
98302	NIZEGORODOWA MARINA	627	2163
52469	VERCAMMEN ROBERT	166	2162
93238	REYNAERT VINCENT	201	2162
79031	AIT MESSAOUD AZIZ	209	2162
6807	STINIS STEVEN	260	2162
53830	BOOG BEN	401	2162
63011	UHODA PHILIPPE	952	2162
825	TONOLI JOSE	209	2161
34312	BUYDTS DIRK	425	2161
25909	ROESSLER ECKHARD	607	2161
20141	VANDENDRIESSCHE JAN	303	2160
485	CLEMENT PAUL	209	2159
33502	HOUDART ROBERT	243	2159
16489	SOETEWEY PATRICK	357	2159
74365	DE VILLERS MOURAD	239	2158
4839	VANDERBEKEN EDDY	124	2156
58831	CATTEAU BRUNO	305	2156
51551	DONOVAN LINTON	340	2155
54038	MOLL ARNE	402	2155
97489	VAN THEEMSCHE ACHIM	402	2155
8281	SMIT ARJAN	462	2155
89664	HAECK KAREL	305	2154
97730	LEEMANS ROLAND	518	2154
38245	VAN BEURDEN BEN	166	2153
28568	LEMMERS RUUD	703	2153
94307	SPANOGHE IVAN	201	2151
5690	ACKAERT THIERRY	209	2151
71528	DOMB MICHEL	229	2151
88684	DE BRIEY LAURENT	952	2151
41041	MAAS THOMAS	109	2150
75761	KELLER CHRISTOPHE	226	2150
66681	CALLIER CHRISTOPHE	951	2150
7587	VAN HUL CHRISTIAAN	243	2148
16462	VERSTRAETEN ROELAND	422	2148
10537	MERX BOB	703	2148
62286	WETTACH MICHEL	951	2148
65498	STROPPA DANIEL	244	2147
29483	MASSCHAELE MICHEL	301	2147
15407	BECKER DIETER	604	2147
64335	HUYLEBROECK ROLAND	401	2146
69442	DAL BORGO ALBIN	601	2146
22578	HABER JEAN PIERRE	229	2144
62847	BENAISSA MOHAMED	229	2144
12149	THOENNESSEN RALF	724	2144
22730	BENIEST RENE	130	2143
42706	VAN HOOFSTAT TOM	130	2143
3352	VAN LAEKEN RUDY	143	2143
74870	MARTIN GABRIEL	203	2143
87211	VAASSEN JACK	703	2143
30384	DE CAUTER WOLFGANG	705	2143
52507	DIJKSTRA BART	101	2142
21644	VALACH JAN	174	2142
9598	DE MAERTELAERE JOERI	465	2142
49492	VANDERHOEVEN PAUL	402	2141
48950	VAN DE VYVER DIRK	472	2141
99970	GROFFY HANS-JUERGEN	607	2141
71935	BILLAUX ERIC	209	2140
99767	FOERSTER WOLFGANG	607	2140
9091	VAN HEMELRYCK ERIC	109	2139
37524	PAUWELS KOENRAAD	472	2139
52574	TROOST JAN	715	2139
97063	EICHHORN ANDREAS	607	2138
77801	METIOUI MOURAD	501	2137
62154	MOREELS YVES	951	2137
45586	DE ROP GERRY	130	2136
35491	MAUQUOY ALAIN	401	2136
28401	SEGERS VIC	143	2135
45608	DECROP RUBEN	301	2135
54607	KERSTENS DENNIS	402	2135
12637	VAN HUMBEECK WILLY	114	2134
7731	NEELS RINALDO	303	2134
54411	VANHOVE KOEN	401	2134
817	BOLCA MELIN	410	2134
69892	BIANCHI GUILLAUME	506	2134
97098	REYSKENS VINCENT	618	2134
97241	GERENZEL JOZEF	627	2134
36323	GOORIS JAN	114	2133
51896	BEUSELINCK STEVEN	301	2133
42820	CRIEL EDWARD	402	2133
